country_name,country_code,pop_total,pop_density,GDP,basic_water,safe_water,basic_san,safe_san,C1_School closing_1,C1_School closing_2,C1_School closing_3,C2_Workplace closing_1,C2_Workplace closing_2,C2_Workplace closing_3,C3_Cancel public events_1,C3_Cancel public events_2,C4_Restrictions on gatherings_1,C4_Restrictions on gatherings_2,C4_Restrictions on gatherings_3,C4_Restrictions on gatherings_4,C5_Close public transport_1,C5_Close public transport_2,C6_Stay at home requirements_1,C6_Stay at home requirements_2,C6_Stay at home requirements_3,C7_Restrictions on internal movement_1,C7_Restrictions on internal movement_2,C8_International travel controls_1,C8_International travel controls_2,C8_International travel controls_3,C8_International travel controls_4,E1_Income support_1,E1_Income support_2,E2_Debt/contract relief_1,E2_Debt/contract relief_2,H1_Public information campaigns_1,H1_Public information campaigns_2,H2_Testing policy_1,H2_Testing policy_2,H2_Testing policy_3,H3_Contact tracing_1,H3_Contact tracing_2,H6_Facial Coverings_1,H6_Facial Coverings_2,H6_Facial Coverings_3,H6_Facial Coverings_4,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,pct_fever_weighted,pct_cough_weighted,pct_difficulty_breathing_weighted,pct_fatigue_weighted,pct_stuffy_runny_nose_weighted,pct_aches_muscle_pain_weighted,pct_sore_throat_weighted,pct_chest_pain_weighted,pct_nausea_weighted,pct_anosmia_ageusia_weighted,pct_eye_pain_weighted,pct_headache_weighted,pct_chills_weighted,pct_cmnty_sick_weighted,pct_ever_tested_weighted,pct_tested_recently_weighted,pct_worked_outside_home_weighted,pct_grocery_outside_home_weighted,pct_ate_outside_home_weighted,pct_spent_time_with_non_hh_weighted,pct_attended_public_event_weighted,pct_used_public_transit_weighted,pct_direct_contact_with_non_hh_weighted,pct__all_time_weighted,pct_wear_mask_most_time_weighted,pct_wear_mask_half_time_weighted,pct_wear_mask_some_time_weighted,pct_wear_mask_none_time_weighted,pct_no_public_weighted,driving,walking,transit,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,prev_cases,total_cases,new_cases_percentages
Japan,JPN,126264931,347.0734584,43235.71757,99.01020833,98.45370749,99.89470757,98.76035784,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,26.85,38.1,31.94,75,0.88,6.136666667,0.623333333,7.53,10.66666667,9.376666667,4.196666667,1.476666667,1.53,0.243333333,3.196666667,7.506666667,0.673333333,1.916666667,1.113333333,0.086666667,28.35333333,73.00666667,43.15666667,45.27666667,5.593333333,23.03,34.34,77.11,12.32,3.076666667,1.333333333,0.966666667,1.886666667,95.2,78.90666667,96.03666667,-10.66666667,2.666666667,4.333333333,-23,-11.33333333,6.333333333,17502,17628,0
Singapore,SGP,5703569,7952.998418,101375.7753,100,100,100,100,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,51.85,66.67,61.11,100,0.426666667,4.35,0.786666667,11.95333333,9.673333333,12.02666667,4.676666667,0.883333333,3.796666667,0.23,3.903333333,8.906666667,1.02,6.366666667,20.08333333,9.666666667,41.81333333,61.54666667,62.19,50.22333333,7.696666667,50.67,40.17666667,78.68666667,9.59,2.806666667,0.05,0.203333333,3.356666667,95.61666667,77.47333333,70.53333333,-18,0.333333333,-5.333333333,-29,-16.33333333,15.66666667,54555,54929,2
Lao People's Democratic Republic,LAO,7169455,30.59578423,8150.752426,82.06189686,16.08186585,74.45941043,58.05358959,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,87.04,81.54666667,84.72333333,62.5,2.12,5.783333333,3.98,12.47333333,10.34666667,20.54333333,6.303333333,2.193333333,2.013333333,0.58,13.31,13.02666667,0,9.02,6.736666667,0.303333333,38.14666667,44.99,11.04,22.88,9.33,4.24,22.97333333,39.95,12.89333333,8.84,3.71,2.033333333,16.61666667,,,,-35,-17.66666667,-12.33333333,-50,-16,8,19,19,0
Morocco,MAR,36471769,80.72851893,7826.167677,86.77851266,70.26643983,88.50364407,38.75015085,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,69.13666667,73.01666667,72.68333333,75,3.19,6.286666667,3.71,25.88,11.21333333,15.6,6.35,5.44,2.906666667,4.146666667,7.483333333,15.84,2.98,11.35333333,19.80333333,7.313333333,39.47666667,60.68666667,39.31333333,40.20666667,8.46,17.66666667,36.72,51.59666667,20.98,5.856666667,3.386666667,0.926666667,6.72,73.38666667,46.11,,-18,0,-14.66666667,-26.33333333,-23,9.666666667,72394,75721,3
Canada,CAN,37589262,4.075188239,51341.70517,99.43624408,98.86085405,99.28601285,82.31639797,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,70.83,68.75,67.71,75,0.726666667,8.336666667,3.63,19.00666667,17.47,17.75,4.643333333,2.58,4.116666667,1.623333333,4.6,15.29666667,2.3,3.06,7.106666667,0.863333333,29.82666667,58.88666667,19.89333333,43.72666667,4.166666667,6.153333333,34.70666667,23.73666667,19.02333333,12.6,9.913333333,24.54666667,5.166666667,115.6966667,110.2266667,39.20333333,-22.33333333,-1,89.33333333,-51,-41.33333333,14.66666667,96233,97114,2
Chile,CHL,18952038,25.18944607,25154.99282,99.8327912,98.63916973,100.0000014,77.46482309,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,86.57,81.85,82.99,75,1.423333333,11.73666667,3.32,11.65666667,19.47,15.1,9.016666667,4.5,5.02,2.216666667,10.88,26.37333333,6.17,14.34666667,15.9,4.4,25.52333333,50.35666667,3.54,32.13666667,2.786666667,17.12333333,39.04333333,76.23333333,4.103333333,0.423333333,0.57,0.243333333,11.15,56.56666667,44.62333333,,-58.33333333,-36.33333333,-57.33333333,-59.33333333,-44.66666667,24.33333333,345790,349800,3
Pakistan,PAK,216565318,275.2893187,4884.88139,91.46545073,35.31434653,59.86949503,,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,47.69,56.25,53.12666667,75,6.006666667,10.15,4.753333333,17.42666667,10.50666667,19.03333333,10.68666667,4.59,5.056666667,4.323333333,9.03,19.41333333,3.426666667,23.53333333,21.80666667,7.21,50.06,56.65333333,29.05666667,41.62666667,25.19666667,17.65333333,47.24,28.70333333,21.69333333,10.7,7.966666667,9.26,6.553333333,,,,-5.666666667,2.666666667,9.666666667,-6,-19.33333333,4.333333333,285191,286674,1
Albania,ALB,2854191,104.6122628,14495.07851,91.03922767,70.02314984,97.71836838,39.85545028,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,83.33,70.83,72.22,62.5,4.09,8.676666667,4.303333333,22.33,13.74,17.80333333,8.056666667,5.453333333,4.106666667,3.25,10.9,16.75666667,4.93,13.03666667,4.79,1.653333333,32.68333333,74.33666667,42.27333333,45.94,13.07666667,5.806666667,50.48333333,16.88333333,20.45,12.84666667,12.02666667,21.83333333,7.886666667,58.28,53.02333333,,,,,,,,969,989,1
Singapore,SGP,5703569,7952.998418,101375.7753,100,100,100,100,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,53.7,67.86,62.5,100,1.25,4.016666667,1.613333333,10.69333333,8.56,11.74333333,3.69,2.066666667,2.35,0.696666667,3.096666667,9.896666667,2.646666667,5.226666667,11.71,5.003333333,44.53,61.42,59.37,44.75,6.383333333,48.06666667,38.17,82.90666667,8.11,1.136666667,0.076666667,0.18,2.403333333,89.03333333,68.70333333,64.22,-23.66666667,0.333333333,-18,-33.33333333,-18.33333333,18.66666667,47126,47655,3
Lebanon,LBN,6855713,669.4941349,15327.30896,92.6,47.7,98.47663917,21.76206173,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,68.52,61.31,67.36,25,1.98,8.966666667,5.073333333,21.77,11.2,12.18666667,8.276666667,4.063333333,4.283333333,2.79,7.303333333,17.79333333,2.596666667,7.516666667,11.76333333,3.48,37.40666667,63.85333333,30.84,49.48666667,16.72666667,11.01,44.6,28.49666667,25.70333333,11.18,9.29,9.01,9.76,,,,-7.666666667,3.666666667,26.66666667,-42.33333333,-22.66666667,0.333333333,2451,2599,1
